Item,Quantity,Order Status,Delivery Status,Notes
Wall,,,,
Wall extended outward,,,,
Window gap filled ,,,,
Front Grill,,,,
Rack/cubboard,,,,
Window ,,,,
Windows ,,,,
Cornice,,,,
Handrail ,,,,
Showcase,,,,
Stairs,,,,
Toilet,,,,
Slab and Bubboards,,,,
Partial wall,,,,
Door ,,,,
Doorway,,,,
Grill and wall,,,,
Parapet wall and sunshade,,,,
Stairs ,,,,
Popcorn grooves,,,,
Floors and bathroom tiles ,,,,
Sitout Grill ,,,,
wall near window opened,,,,
Door,,,,
Partition ,,,,
Kitchen ,,,,
Wall ,,,,
Parapet wall,,,,
Veranda ,,,,
Walls ,,,,
Circular stair,,,,
wall,,,,
floor extended ,,,,
Backyard stairs,,,,
Steel Roof,,,,
Window,,,,
Windows,,,,
Doors,,,,
Inverter ,,,,
Floor,,,,
Clothing Cabinets,,,,
Clothing Cabinet,,,,
Liquor Cabinet ,,,,
Writing Desk ,,,,
Cabinet ,,,,
Cabinets ,,,,
Glass shower door,,,,
Shower Hardware,,,,
Washbasin and Hardware,,,,
Pressure Pump,,,,
Central Water Heating Unit,,,,
Glass Shower door,,,,
